,600755.SH,600309.SH,600031.SH,600886.SH,000768.SZ,002594.SZ,000651.SZ,600138.SH,600177.SH,600276.SH,600519.SH,002714.SZ,600036.SH,601318.SH,000002.SZ,601138.SH,600111.SH,300413.SZ,002093.SZ
1183,7.06,45.96,13.93,8.64,15.73,44.1,61.17,11.95,6.89,89.67,1201.6,96.0,37.2,88.22,26.28,15.78,9.66,28.42,8.2
1184,7.06,46.58,13.96,8.57,15.5,43.28,59.16,11.87,7.1,91.39,1224.0,94.13,37.0,88.0,26.19,15.66,9.5,28.99,8.17
1185,7.07,46.87,14.07,8.48,15.52,43.52,58.85,11.79,7.11,94.33,1230.0,94.95,36.74,88.03,26.39,15.99,9.55,30.71,8.18
1186,7.07,45.65,13.89,8.29,15.22,43.12,59.13,11.56,6.99,92.7,1224.9,90.78,36.83,87.9,26.49,16.01,9.73,31.39,8.05
1187,6.95,45.7,14.19,8.27,15.26,42.83,58.86,11.66,7.05,92.9,1227.28,92.57,37.5,88.71,26.42,15.94,9.72,31.9,8.1
1188,6.98,46.13,14.65,8.26,15.57,43.74,58.99,11.88,7.0,95.63,1232.32,95.68,37.52,88.89,26.72,16.08,9.89,33.51,8.23
1189,7.07,46.0,14.58,8.04,15.37,43.1,59.46,11.66,7.01,95.0,1233.75,92.5,36.58,88.05,26.65,16.21,10.18,33.29,8.21
1190,6.98,46.36,14.6,8.38,15.66,43.62,58.86,11.75,6.87,92.6,1231.3,93.53,36.44,86.34,26.75,16.8,9.98,32.68,8.18
1191,6.98,46.87,14.47,8.43,15.63,43.82,57.45,11.62,6.73,88.98,1194.0,92.0,36.23,84.89,27.01,16.82,9.87,32.52,8.11
1192,6.97,48.9,14.91,8.57,15.63,44.87,56.72,11.67,6.77,88.12,1182.06,89.22,36.58,85.5,28.65,16.2,9.95,31.22,8.01
1193,7.06,49.24,14.94,8.52,15.97,44.6,57.81,11.83,6.77,88.9,1185.0,91.0,36.0,85.4,28.35,16.41,10.05,31.56,7.85
1194,7.05,48.8,14.89,8.66,15.89,43.9,58.54,11.79,6.78,89.65,1189.95,89.94,36.65,84.91,28.0,16.54,10.04,30.7,7.87
