trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-07-15,-0.04524157,-0.006372975,0.0064620881,-0.005226164,0.0126656596,0.004648029,0.000285,-0.006386288,0.0075345303,-0.002223253,0.0135235264,-0.000450857
1994-07-18,-0.042822672,-0.007234854,0.004202412,-0.000503635,0.0031568691,0.0107821514,0.000285,-0.00717718,0.0050690923,0.0023383172,-0.000064772,0.0013495762
1994-07-19,0.0032506919,-0.001741658,-0.001352693,-0.002346188,0.0033771449,0.0102994309,0.000285,-0.000683372,-0.000817486,-0.003182898,0.0009570481,0.0076345714
1994-07-20,-0.020418324,0.0018045924,0.0025877846,-0.003878117,0.0080371396,0.0065374151,0.000285,0.0023179973,0.0011030574,-0.003772209,0.0113592188,0.0071579381
1994-07-21,-0.026121084,-0.015094798,0.0131589642,-0.023994038,0.0195451994,-0.009571642,0.000285,-0.01384191,0.0114442067,-0.019905767,0.0144173894,-0.022370305
1994-07-22,-0.034089475,-0.015205004,0.0212186788,-0.042215927,0.0198300197,-0.028560321,0.000285,-0.015225771,0.017520059,-0.047542421,0.0170535721,-0.028078976
1994-07-25,0.0442221884,-0.002938774,-0.004043706,0.0141632249,-0.008516151,-0.012556307,0.000285,-0.002915827,-0.00485394,0.0119355875,-0.004583281,-0.006549586
1994-07-26,0.043041019,0.0006666825,0.00205205,-0.006426298,-0.007487791,-0.015871926,0.000285,0.0015651069,0.0005876391,-0.001744316,-0.005569966,-0.009304967
1994-07-27,-0.057444577,-0.002152318,0.0094578283,-0.017819704,0.0048024819,0.0100207015,0.000285,0.0000899303,0.0066759979,-0.011879892,0.0106160385,0.0068566952
1994-07-28,-0.081358331,-0.012724004,0.0306914788,-0.037738888,0.0112684526,-0.025139292,0.000285,-0.012751529,0.0236273809,-0.033343607,0.0136232236,-0.030205967
1994-07-29,-0.017841903,-0.013704837,0.0130437621,0.0076033186,-0.010317766,-0.03653869,0.000285,-0.011950159,0.0128181704,-0.00152277,-0.000574964,-0.026216138
1994-08-01,0.3711039799,0.0041727922,-0.028420522,0.0149635652,-0.023115511,-0.012089045,0.000285,-0.000381235,-0.020703107,-0.016277714,-0.01383895,0.0044036476
1994-08-02,-0.034733422,0.0264583384,-0.001298787,0.008206054,0.0074926471,0.0065176656,0.000285,0.0367548309,0.006450319,-0.009450955,0.0145814434,0.0424683524
1994-08-03,0.2072176419,0.0242228589,-0.043618597,0.0144504584,-0.027107799,0.0733210086,0.000285,0.0157070481,-0.04461273,0.0085261638,-0.025607966,0.0556672905
1994-08-04,0.0629003864,0.0284875226,-0.024713112,-0.019410162,-0.029429576,0.0379741833,0.000285,0.0259290065,-0.0168174,-0.024509944,-0.038185595,0.0468160524
1994-08-05,0.1865004767,0.0599209984,-0.006236518,-0.048991714,-0.0398785,0.1645789237,0.000285,0.0431658252,-0.003527845,-0.051233085,-0.025181941,0.1257725048
1994-08-08,0.0268527518,0.0015343092,-0.012258175,-0.036269596,-0.012722916,0.0789708621,0.000285,0.000081709,-0.022418356,-0.033507221,-0.02487395,0.0446375143
1994-08-09,-0.114624834,-0.017834114,-0.000996332,0.0172928952,0.0134783134,-0.052456353,0.000285,-0.015268322,-0.001024263,0.0140483362,0.0135051878,-0.043832681
1994-08-10,0.1729096692,0.0116074895,0.0037126106,-0.005394171,-0.00213697,0.0708041875,0.000285,0.0077664408,0.0030563639,0.0020291028,-0.007115215,0.0495092619
1994-08-11,-0.049600768,-0.008339143,0.0081142324,-0.032445329,0.0238272935,-0.008793024,0.000285,-0.002771407,0.0010683991,-0.031900178,-0.001103538,0.0024199381
1994-08-12,-0.004256082,6.6364981E-6,0.00219826,-0.013941263,0.0037046244,0.0124139449,0.000285,-0.002430967,0.0019149985,-0.006062361,0.0079348371,-0.001448762
1994-08-15,-0.039005929,-0.004925067,-0.011285209,0.0210141843,-0.006824641,-0.019374738,0.000285,-0.001518843,-0.009769822,0.0162653345,-0.007097032,-0.009483952
